"doi","publication_date","title","biod","citeulike","crossref","scopus","pubmed","researchblogging","nature","bloglines","postgenomic","facebook","twitter","wikipedia","scienceseeker","counter_html","counter_pdf","counter_xml","counter","pmc_html","pmc_pdf","pmc","mendeley_readers","mendeley_groups","mendeley","comments","comment_replies","trackbacks","f1000","article_type"
"10.1371/journal.pbio.0000001",2003-10-13,"A Functional Analysis of the Spacer of V(D)J Recombination Signal Sequences",0,0,11,36,14,0,0,0,0,0,1,0,0,6903,474,111,7488,1108,387,1495,16,0,16,0,0,0,1,"Research Article"
"10.1371/journal.pbio.0000002",2003-11-17,"Viral Discovery and Sequence Recovery Using DNA Microarrays",0,4,90,205,102,0,0,0,0,0,0,0,0,17865,3262,118,21245,3797,2259,6056,81,0,81,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000003",2003-11-17,"Gene Chip for Viral Discovery",0,0,0,1,0,0,0,0,0,0,0,0,0,3327,271,80,3678,701,131,832,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000004",2003-10-13,"Functional Analysis of RSS Spacers",0,0,0,0,0,0,0,0,0,0,0,0,0,3000,72,93,3165,640,210,850,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000005",2003-08-18,"The Transcriptome of the Intraerythrocytic Developmental Cycle of <named-content xmlns:xlink=""http://www.w3.org/1999/xlink"" content-type=""genus-species"" xlink:type=""simple"">Plasmodium falciparum</named-content>",0,10,339,679,306,0,0,0,0,0,0,3,0,29379,4565,267,34211,4476,2539,7015,165,0,165,0,0,0,3,"Research Article"
"10.1371/journal.pbio.0000006",2003-08-18,"DNA Analysis Indicates That Asian Elephants Are Native to Borneo and Are Therefore a High Priority for Conservation",0,0,16,27,4,0,0,0,0,0,0,10,0,17862,1616,135,19613,2924,424,3348,81,0,81,0,0,0,0,"Research Article"
"10.1371/journal.pbio.0000007",2003-08-18,"Borneo Elephants: A High Priority for Conservation",0,2,0,0,0,0,0,0,0,0,0,2,0,7160,438,115,7713,849,226,1075,0,0,0,0,0,0,0,"Synopsis"
"10.1371/journal.pbio.0000008",2003-10-13,"Genetically Modified Cornâ Environmental Benefits and Risks",0,0,6,8,1,0,0,0,3,66,1,0,0,97861,2494,293,100648,7529,1368,8897,31,0,31,0,0,0,0,"Feature"
"10.1371/journal.pbio.0000009",2003-10-13,"Out of the Way",0,2,1,2,0,0,0,0,0,0,0,3,0,8207,195,131,8533,1957,355,2312,5,0,5,1,0,0,0,"Community Page"
"10.1371/journal.pbio.0000010",2003-10-13,"The Roles of APC and Axin Derived from Experimental and Theoretical Analysis of the Wnt Pathway",0,14,126,230,92,0,0,0,0,0,0,0,0,19172,2715,167,22054,3178,1860,5038,75,0,75,0,0,0,3,"Research Article"
"10.1371/journal.pbio.0000011",2003-08-18,"Monitoring Malaria: Genomic Activity of the Parasite in Human Blood Cells",0,0,0,0,0,0,0,0,0,0,0,0,0,4998,214,111,5323,877,279,1156,2,0,2,0,0,0,0,"Synopsis"
